timestamp,session_id,query,response,crisis_flag
2026-03-21T22:15:47.541246,web-session-1,hey,"I'm here only for mental health support. Feel free to ask anything related to stress, anxiety, sleep, sadness, anger, confidence, or emotional wellbeing 😊",False
2026-03-21T22:24:48.209602,web-session-1,hii,"Hey! I'm Sage, your mental health chatbot 🌿

You can talk to me about stress, anxiety, sleep problems, sadness, anger, motivation, confidence, or emotional wellbeing.

Tell me how you're feeling today.",False
2026-03-21T22:24:56.872868,web-session-1,hey,"Hey! I'm Sage, your mental health chatbot 🌿

You can talk to me about stress, anxiety, sleep problems, sadness, anger, motivation, confidence, or emotional wellbeing.

Tell me how you're feeling today.",False
2026-03-21T22:25:14.309316,web-session-1,How do I stop overthinking?,"I'm sorry you're feeling stressed. Stress can make everything feel heavier, but a few simple steps may help right now.

Try this:
1. Inhale for 4 seconds
2. Hold for 4 seconds
3. Exhale slowly for 6 seconds
Repeat this 3 to 5 times

You can also write down what is stressing you and separate it into:
- things you can control
- things you cannot control

If stress is affecting sleep, studies, work, or daily life, it would be a good idea to talk to a counselor, therapist, or doctor.",False
2026-03-21T22:27:54.411016,web-session-1,Feeling stressed 😟,"Yaar mujhe afsos hai ki tum itna stress feel kar rahe ho. Stress kabhi kabhi sab kuch heavy bana deta hai, but abhi thoda calm hone ke liye ye try karo:

1. 4 second inhale karo
2. 4 second hold karo
3. 6 second dheere se exhale karo
Isko 3 se 5 baar repeat karo

Ek aur simple step:
- jo cheezein tension de rahi hain unhe likho
- phir unhe 2 parts me divide karo:
  1. jo tum control kar sakte ho
  2. jo tum control nahi kar sakte

Agar stress sleep ya daily life affect kar raha hai, toh counselor, therapist ya doctor se baat karna better rahega.",False
2026-03-21T22:34:40.947660,web-session-1,Feeling stressed 😟,"Stress can build up quietly and then suddenly feel overwhelming. A grounding exercise may help.

Look around and notice:
- 5 things you can see
- 4 things you can touch
- 3 things you can hear
- 2 things you can smell
- 1 thing you can taste

This can bring your mind back to the present moment. Also try drinking water and taking a short break from screens.

If this has been going on for many days or feels too hard to manage alone, professional support could really help.",False
2026-03-21T22:36:34.440427,web-session-1,hii,"Hey! I'm Sage, your mental health chatbot 🌿

You can talk to me about stress, anxiety, sleep problems, sadness, anger, motivation, confidence, or emotional wellbeing.

Tell me how you're feeling today.",False
2026-03-21T22:36:44.084236,web-session-1,i want to die,"I'm really sorry you're feeling this overwhelmed right now. You matter, and you deserve support.

Please reach out right now to a trusted person near you, such as a family member, friend, teacher, or local emergency service if you feel unsafe.

📞 India: 9152987821 (iCall), 1800-599-0019 (Vandrevala Foundation)
📞 USA/Canada: 988
📞 UK/Ireland: 116 123 (Samaritans)

Please do not stay alone with this feeling. Reach out to someone now.

You can also tell me what happened in one sentence, and we can take it one small step at a time.",True
2026-03-22T15:03:00.419607,web-session-1,hii,"Hey! I'm Sage, your mental health chatbot 🌿

You can talk to me about stress, anxiety, sleep problems, sadness, anger, motivation, confidence, or emotional wellbeing.

Tell me how you're feeling today.",False
2026-03-22T15:03:14.016894,web-session-1,i want to die,"I'm really sorry you're feeling this overwhelmed right now. You matter, and you deserve support.

Please reach out right now to a trusted person near you, such as a family member, friend, teacher, or local emergency service if you feel unsafe.

📞 India: 9152987821 (iCall), 1800-599-0019 (Vandrevala Foundation)
📞 USA/Canada: 988
📞 UK/Ireland: 116 123 (Samaritans)

Please do not stay alone with this feeling. Reach out to someone now.

You can also tell me what happened in one sentence, and we can take it one small step at a time.",True
2026-03-22T15:03:59.877120,web-session-1,"I feel stressed
still stressed
i want to die","I'm really sorry you're feeling this overwhelmed right now. You matter, and you deserve support.

Please reach out right now to a trusted person near you, such as a family member, friend, teacher, or local emergency service if you feel unsafe.

📞 India: 9152987821 (iCall), 1800-599-0019 (Vandrevala Foundation)
📞 USA/Canada: 988
📞 UK/Ireland: 116 123 (Samaritans)

Please do not stay alone with this feeling. Reach out to someone now.

You can also tell me what happened in one sentence, and we can take it one small step at a time.",True
